COMPONENT,COMPONENT_cleaned
11-Desoxycortisol^Basislinie,desoxycortisol basislinie
Lycopersicon lycopersicum Ak.IgE/IgE.gesamt,lycopersicon lycopersicum ak ige ige gesamt
Hühnerfleisch Ak.IgE/IgE.gesamt,huehnerfleisch ak ige ige gesamt
Humanes Metapneumovirus Ak.IgG,humanes metapneumovirus ak igg
Glucose.per os,glucose per os
Stachybotrys chartarum Ak.IgG,stachybotrys chartarum ak igg
Filaria Ag,filaria ag
Lactatdehydrogenase-Isoenzyme (Liste),lactatdehydrogenase isoenzyme liste
CFTR-Gen Allel 1,cftr gen allel
Yersinia sp-Antikörper (Liste),yersinia sp antikoerper liste
Thrombozytenglycoprotein Ak,thrombozytenglycoprotein ak
Rattenepithel+Serumproteine+Urinproteine Ak.IgE.RAST Klasse,rattenepithel serumproteine urinproteine ak ige rast klasse
Porphyrine fraktioniert,porphyrine fraktioniert
Cortisol^Basislinie,cortisol basislinie
2-Hydroxyisocaproat,hydroxyisocaproat
Trijodthyronin Ak,trijodthyronin ak
Cholesterin.Non-HDL,cholesterin non hdl
Bilirubin.Mikroskopische Beobachtung,bilirubin mikroskopische beobachtung
Thrombopoietin,thrombopoietin
Zellen.CD3/Zellen.CD4,zellen cd zellen cd
Bordetella sp Ag,bordetella sp ag
Parietaria officinalis Ak.IgE.RAST Klasse,parietaria officinalis ak ige rast klasse
Hundeschuppen+Hundeepithel Ak.IgE.RAST Klasse,hundeschuppen hundeepithel ak ige rast klasse
Gesamtei Ak.IgE/IgE.gesamt,gesamtei ak ige ige gesamt
Gerinnsel,gerinnsel
Trypanosoma brucei rhodesiense Ak,trypanosoma brucei rhodesiense ak
Cyclospora cayetanensis DNA,cyclospora cayetanensis dna
Entamoeba dispar DNA,entamoeba dispar dna
Plasmodium ovale DNA,plasmodium ovale dna
Atazanavir,atazanavir
Arenavirus RNA,arenavirus rna
Phoenix dactylifera Ak.IgE.RAST Klasse,phoenix dactylifera ak ige rast klasse
Actinomyces sp Ak,actinomyces sp ak
Aspergillus sp Ak.IgE.RAST Klasse,aspergillus sp ak ige rast klasse
Bartonella sp Ak,bartonella sp ak
Baclofen,baclofen
Agrostis stolonifera Ak.IgE/IgE.gesamt,agrostis stolonifera ak ige ige gesamt
Rabies-Virus Ak.neutralisierend,rabies virus ak neutralisierend
Zellen.CD4+CD45RA+/Zellen,zellen cd cd ra zellen
Masern-Virus Ak.IgG & IgM,masern virus ak igg igm
Xyloseabsorption,xyloseabsorption
Arbovirus Ak.IgG,arbovirus ak igg
Bartonella sp Ak.IgG,bartonella sp ak igg
17-Ketosteroide/Creatinin,ketosteroide creatinin
Chloralhydrat/Creatinin,chloralhydrat creatinin
Phenol/Creatinin,phenol creatinin
Adenosinmonophosphat.zyklisch.nephrogen/Creatinin,adenosinmonophosphat zyklisch nephrogen creatinin
Methylendioxymethamphetamin/Creatinin,methylendioxymethamphetamin creatinin
Ascaris lumbricoides adult Ak.IgG,ascaris lumbricoides adult ak igg
Ascaris-lumbricoides-Larve Ak.IgG,ascaris lumbricoides larve ak igg
Thymus vulgaris Ak.IgG,thymus vulgaris ak igg
DNA-Einzelstrang Ak.IgG,dna einzelstrang ak igg
Präkeratozyten,praekeratozyten
Herpes-Virus Typ 6 Ak,herpes virus typ ak
Komplement C1q Ak,komplement ak
Klassifikationsmodell für Lebererkrankungen im Endstadium,klassifikationsmodell lebererkrankungen endstadium
Borrelia sp Ak,borrelia sp ak
HIV-1,hiv
Harnstoff-Stickstoff/Creatinin,harnstoff stickstoff creatinin
Komplement C1-Esterase-Inhibitor,komplement esterase inhibitor
Beta-2-Globulin+Gamma-Globulin,beta globulin gamma globulin
Protein.monoklonale Bande 2/Protein.gesamt,protein monoklonale bande protein gesamt
Cholesterol.in LDL/Apolipoprotein B,cholesterol ldl apolipoprotein
Methylmalonat/Homocystein,methylmalonat homocystein
Methylmalonat/Homocystin,methylmalonat homocystin
Taenia solium Ak.IgG,taenia solium ak igg
Beta-Globulin+Gamma-Globulin/Protein.gesamt,beta globulin gamma globulin protein gesamt
Shigella dysenteriae Ag,shigella dysenteriae ag
Katecholamine.frei fraktioniert,katecholamine frei fraktioniert
Corticotropin^Basislinie,corticotropin basislinie
Cortisol^nach Dosis Dexamethason,cortisol dosis dexamethason
Prolaktin^15 Minuten nach Dosis TRH intravenös,prolaktin minuten dosis trh intravenoes
Endomysium Ak.IgG,endomysium ak igg
Thymidinkinase,thymidinkinase
Thyreotropin^15 Minuten vor Dosis TRH intravenös,thyreotropin minuten dosis trh intravenoes
Komplement C4b Bindungsprotein,komplement bindungsprotein
Mycoplasma sp & Ureaplasma sp (Liste),mycoplasma sp ureaplasma sp liste
Chlamydophila pneumoniae Ak^1. Probenmaterial,chlamydophila pneumoniae ak probenmaterial
Ribosomaler P Ak.IgG,ribosomaler ak igg
Rubus fruticosus Ak.IgE/IgE.gesamt,rubus fruticosus ak ige ige gesamt
Acetylcholinesterase/Cholinesterase,acetylcholinesterase cholinesterase
Campylobacter jejuni Ak.IgG,campylobacter jejuni ak igg
11-Desoxycortisol/Cortisol,desoxycortisol cortisol
Basalmembranzone BP180 Ak,basalmembranzone bp ak
Mycobacterium tuberculosis Tuberkulin-stimuliertes Gamma-Interferon,mycobacterium tuberculosis tuberkulin stimuliertes gamma interferon
Zecke^^^3,zecke
Coproporphyrin 3/Coproporphyrin 1,coproporphyrin coproporphyrin
Plasmodium sp Ag,plasmodium sp ag
Streptococcus pneumoniae Ak.IgG,streptococcus pneumoniae ak igg
Somatotropin^105 Minuten nach Dosis Arginin,somatotropin minuten dosis arginin
Lutropin^15 Minuten nach Dosis Gonadotropin-Releasing-Hormon,lutropin minuten dosis gonadotropin releasing hormon
Cortisol^8 Stunden nach 8 mg Dexamethason per os über Nacht hochdosiert,cortisol mg dexamethason per os ueber nacht hochdosiert
Anamnese zum Einsatz von Medizinprodukten,anamnese einsatz medizinprodukten
Corticotropin^2 Stunden nach 1 µg/kg CRH intravenös,corticotropin kg crh intravenoes
Somatotropin^30 Minuten nach 1 g/kg Glucose per os,somatotropin minuten kg glucose per os
Somatotropin^15 Minuten vor Dosis Arginin,somatotropin minuten dosis arginin
(Brassica oleracea var italica+Daucus carota+Phaseolus vulgaris+Pisum sativum+Zea mays) Ak.IgE,brassica oleracea var italica daucus carota phaseolus vulgaris pisum sativum zea mays ak ige
Streptokinase,streptokinase
Beta-Fructofuranosidase,beta fructofuranosidase
Actinomyces bovis Ak,actinomyces bovis ak
Aconitat,aconitat
Speicheldrüse Ak.IgA,speicheldruese ak iga
Pyruvat/Creatinin,pyruvat creatinin
Aktin.glatte Muskulatur Ak.IgG,aktin glatte muskulatur ak igg
Lipoprotein.beta/Lipoprotein.alpha,lipoprotein beta lipoprotein alpha
Thrombozyten-Glycoprotein Ia-IIa Ak,thrombozyten glycoprotein ia iia ak
Rickettsia rickettsii Ak.IgM,rickettsia rickettsii ak igm
Wasserstoff/Ausatemluft^nach 50 g Lactose per os,wasserstoff ausatemluft lactose per os
Phosphatase.Leukozyten,phosphatase leukozyten
Thrombozyten-assoziierter Ak.IgG,thrombozyten assoziierter ak igg
Borrelia burgdorferi Ak.IgG Index,borrelia burgdorferi ak igg index
Haemophilus influenzae B Ak.IgG^1. Probenmaterial,haemophilus influenzae ak igg probenmaterial
Vasopressin^1. Probenmaterial nach XXX Stimulation,vasopressin probenmaterial stimulation
Adenosinmonophosphat.zyklisch^3. Probenmaterial nach XXX Stimulation,adenosinmonophosphat zyklisch probenmaterial stimulation
S100 Calcium-bindendes Protein B,calcium bindendes protein
Trijodthyronin^2. Probenmaterial nach XXX Stimulation,trijodthyronin probenmaterial stimulation
Leber-Nieren-Mikrosomen-1 Ak.IgG,leber nieren mikrosomen ak igg
Gamma-Hydroxybutyrat/Creatinin,gamma hydroxybutyrat creatinin
C-Peptid^2 Stunden nach Dosis Glucose,peptid dosis glucose
Anamnese der Prozeduren oder Maßnahmen,anamnese prozeduren massnahmen
Estradiol^vor Dosis Corticotropin,estradiol dosis corticotropin
C-Peptid^10 Minuten nach Dosis Glucose,peptid minuten dosis glucose
Insulin^30 Minuten nach Dosis Glucose,insulin minuten dosis glucose
Aspartat-Aminotransferase.makromolekular,aspartat aminotransferase makromolekular
"Cortisol^nach 500 µg Dexamethason per os 2,5 Tage niedrige Dosis alle 6 Stunden",cortisol dexamethason per os tage niedrige dosis
Thrombozyten.groß/Thrombozyten,thrombozyten gross thrombozyten
17-Hydroxyprogesteron^30 Minuten nach XXX Stimulation,hydroxyprogesteron minuten stimulation
Staphylolysin Ak,staphylolysin ak
Beta-Trace Protein,beta trace protein
Thrombozyten-Glycoprotein Ia-IIa Ak.IgG,thrombozyten glycoprotein ia iia ak igg
Thrombozyten-Glycoprotein Ib-Ix Ak,thrombozyten glycoprotein ib ix ak
Magenentleerungszeit^nach 100 mg Natriumoctanoat per os,magenentleerungszeit mg natriumoctanoat per os
Komplement C1-Esterase-Inhibitor aktuell/normal,komplement esterase inhibitor aktuell
Transferrin.kohlenhydratdefizient/Transferrin.gesamt,transferrin kohlenhydratdefizient transferrin gesamt
Pro-Hepcidin,pro hepcidin
Amyloid A,amyloid
Thrombozyten-Glycoprotein Ib-Ix Ak.IgG,thrombozyten glycoprotein ib ix ak igg
"Prolaktin^1,5 Stunden nach Dosis TRH intravenös",prolaktin dosis trh intravenoes
Prolaktin^15 Minuten vor Dosis TRH intravenös,prolaktin minuten dosis trh intravenoes
Prostataspezifisches Ag/Creatinin,prostataspezifisches ag creatinin
Cytomegalie-Virus Ak.IgA,cytomegalie virus ak iga
Bartonella sp Ak.IgM,bartonella sp ak igm
Mycobacterium-tuberculosis-stimulierte Gamma-Interferon-Freisetzung durch CD4+ T-Zellen,mycobacterium tuberculosis stimulierte gamma interferon freisetzung cd zellen
Somatotropin^30 Minuten vor 1 g/kg Glucose per os,somatotropin minuten kg glucose per os
Phosphat^nach Dialyse,phosphat dialyse
Yersinia sp DNA,yersinia sp dna
IgA.intrathekal synthetisiert,iga intrathekal synthetisiert
Allergien und unerwünschte Wirkungen,allergien unerwuenschte wirkungen
Magenentleerungszeit^nach 100 mg Natriumacetat per os,magenentleerungszeit mg natriumacetat per os
Gerinnungzeit Oberflächen-induziert^nach Zugabe von aktiviertem Protein C,gerinnungzeit oberflaechen induziert zugabe aktiviertem protein
Albumin & Immunglobulin-Quotient,albumin immunglobulin quotient
Mittleres Retikulozytenvolumen,mittleres retikulozytenvolumen
Ehrlichia sp,ehrlichia sp
Wasserstoff/Ausatemluft^nach 10 g Lactulose per os,wasserstoff ausatemluft lactulose per os
Rickettsia rickettsii DNA,rickettsia rickettsii dna
Harnstoff-Stickstoff^nach Dialyse/vor Dialyse,harnstoff stickstoff dialyse dialyse
Androstendion^1 Stunde nach XXX Stimulation,androstendion stunde stimulation
Parathormon,parathormon
Vasopressin^30 Minuten nach XXX Stimulation,vasopressin minuten stimulation
Prokollagenpeptid Typ 1.Propeptid N-Terminal,prokollagenpeptid typ propeptid terminal
Cytomegalie-Virus Ak.IgG Index,cytomegalie virus ak igg index
Funktionelle Statusbeurteilung - Notiz,funktionelle statusbeurteilung notiz
Cortisol^nach 1 mg Dexamethason per os über Nacht,cortisol mg dexamethason per os ueber nacht
Testosteron^1 Stunde nach Dosis Corticotropin,testosteron stunde dosis corticotropin
Gerinnungzeit Oberflächen-induziert.Lupus-sensitiv aktuell/normal,gerinnungzeit oberflaechen induziert lupus sensitiv aktuell
Cholesterol/Apolipoprotein B,cholesterol apolipoprotein
Glutathion.oxidiert/Glutathion.reduziert,glutathion oxidiert glutathion reduziert
Alanin-Aminotransferase.makromolekular,alanin aminotransferase makromolekular
LDL.oxidiert Ak,ldl oxidiert ak
Komplement gesamthämolytisch CH50 aktuell/normal,komplement gesamthaemolytisch ch aktuell
Thrombozyten-Glycoprotein IIb-IIIa Ak,thrombozyten glycoprotein iib iiia ak
HIV Genotyp,hiv genotyp
Glucose^1 Stunde nach Dosis Fructose per os,glucose stunde dosis fructose per os
Hexacarboxylporphyrin/Creatinin,hexacarboxylporphyrin creatinin
Proteinfraktionen.oligoklonale Banden.IT,proteinfraktionen oligoklonale banden it
Renin^30 Minuten vor XXX Stimulation,renin minuten stimulation
N-Acetyl-beta-Glucosaminidase/Creatinin,acetyl beta glucosaminidase creatinin
Periplaneta americana Ak.IgE.RAST Klasse,periplaneta americana ak ige rast klasse
Helicobacter pylori DNA,helicobacter pylori dna
Creatinkinase.MiMi/Creatinkinase.gesamt,creatinkinase mimi creatinkinase gesamt
Chylomikronen/Lipoprotein.gesamt,chylomikronen lipoprotein gesamt
Fraktionelle Natriumexkretion,fraktionelle natriumexkretion
Epstein-Barr-Virus Bandenmuster,epstein barr virus bandenmuster
Vibrio sp DNA,vibrio sp dna
Plasmodium ovale Ak.IgG,plasmodium ovale ak igg
Leishmania sp DNA,leishmania sp dna
Glomeruläre Basalmembran Ak,glomerulaere basalmembran ak
Trypanosoma cruzi DNA,trypanosoma cruzi dna
Neutrophiler zytoplasmatischer Ak.perinukleär.atypisch,neutrophiler zytoplasmatischer ak perinukleaer atypisch
Camellia sinensis Ak.IgG,camellia sinensis ak igg
IgA Ag,iga ag
Amylase.Flüssigkeit/Amylase.Serum,amylase fluessigkeit amylase serum
"Wasserstoff/Ausatemluft^1,5 Stunden nach XXX Stimulation",wasserstoff ausatemluft stimulation
Beta-Hydroxybutyrat/Acetoacetat,beta hydroxybutyrat acetoacetat
Eisen^3. Probenmaterial,eisen probenmaterial
Parvovirus B19 RNA,parvovirus rna
Prolaktin.monomer/Prolaktin.gesamt,prolaktin monomer prolaktin gesamt
von Willebrand Faktor.Kollagen-Bindungsaktivität aktuell/normal,willebrand faktor kollagen bindungsaktivitaet aktuell
Pneumocystis jirovecii DNA,pneumocystis jirovecii dna
Corticotropin^nach 2 mg Dexamethason per os über Nacht,corticotropin mg dexamethason per os ueber nacht
Cortisol^vor 100 µg CRH intravenös,cortisol crh intravenoes
Probenmaterial genommen^2. Probenmaterial,probenmaterial genommen probenmaterial
Protein.Pleuraflüssigkeit/Protein.Serum,protein pleurafluessigkeit protein serum
Escherichia coli Ak.IgE,escherichia coli ak ige
3-Hydroxypropionat,hydroxypropionat
Albumin^liegend,albumin liegend
Follitropin^2. Probenmaterial,follitropin probenmaterial
Gastrin^2. Probenmaterial,gastrin probenmaterial
Ascaris lumbricoides Ak,ascaris lumbricoides ak
Somatotropin^4. Probenmaterial,somatotropin probenmaterial
"Corticotropin^nach 500 µg Dexamethason per os 2,5 Tage niedrige Dosis alle 6 Stunden",corticotropin dexamethason per os tage niedrige dosis
Cortisol^40 Minuten nach 100 µg CRH intravenös,cortisol minuten crh intravenoes
Ibuprofen Ak.IgE,ibuprofen ak ige
Liquidambar styraciflua Ak.IgE/IgE.gesamt,liquidambar styraciflua ak ige ige gesamt
Lactatdehydrogenase.Pleuraflüssigkeit/Lactatdehydrogenase.Serum,lactatdehydrogenase pleurafluessigkeit lactatdehydrogenase serum
Somatotropin^6-Uhr-Probenmaterial,somatotropin uhr probenmaterial
Arbovirus Ak.neutralisierend,arbovirus ak neutralisierend
HTLV 1+2 RNA,htlv rna
Mycobacterium tuberculosis rRNA,mycobacterium tuberculosis rrna
Cortisol^1 Stunde nach 100 µg CRH intravenös,cortisol stunde crh intravenoes
von Willebrand Faktor.Kollagen-Bindungsaktivität/von Willebrand-Faktor-Antigen,willebrand faktor kollagen bindungsaktivitaet willebrand faktor antigen
Gerinnungszeit verdünntes Russell's Viper Venom-induziert (dRVVT)/Gerinnungszeit verdünntes Russell's Viper Venom-induziert (dRVVT).Phospholipidüberschuss,gerinnungszeit verduenntes russell viper venom induziert drvvt gerinnungszeit verduenntes russell viper venom induziert drvvt phospholipidueberschuss
Corticotropin^vor 1 mg Dexamethason per os über Nacht,corticotropin mg dexamethason per os ueber nacht
Corticotropin^vor 100 µg CRH intravenös,corticotropin crh intravenoes
Alkalische Phosphatase.makro/Alkalische Phosphatase.gesamt,alkalische phosphatase makro alkalische phosphatase gesamt
Glutamatdehydrogenase,glutamatdehydrogenase
Cryptococcus neoformans rRNA,cryptococcus neoformans rrna
Parathormon.intakt^1. Probenmaterial,parathormon intakt probenmaterial
Thyreotropin^3. Probenmaterial,thyreotropin probenmaterial
Plasmodium sp Lactatdehydrogenase,plasmodium sp lactatdehydrogenase
Hirudin,hirudin
A Ak.IgG,ak igg
A Ak.IgM,ak igm
Everolimus,everolimus
Urinanalyse Teststreifen (Liste),urinanalyse teststreifen liste
Thrombozytenfaktor 4 Ag,thrombozytenfaktor ag
Alpha-2-Makroglobulin/Creatinin,alpha makroglobulin creatinin
Influenza-Virus A Ak.neutralisierend,influenza virus ak neutralisierend
F13 A1-Gen.p.Val34Leu,gen val leu
"Glucose^15 Minuten nach 0,1 U/kg Insulin",glucose minuten kg insulin
Osmotische Resistenz.beginnende Hämolyse,osmotische resistenz beginnende haemolyse
Bor/Creatinin,bor creatinin
Haemophilus influenzae rRNA,haemophilus influenzae rrna
Alpha-2-Makroglobulin/Protein.gesamt,alpha makroglobulin protein gesamt
Legionella sp rRNA,legionella sp rrna
Funktionelles Shuntvolumen,funktionelles shuntvolumen
"Corticotropin^vor 500 µg Dexamethason per os 2,5 Tage niedrige Dosis alle 6 Stunden",corticotropin dexamethason per os tage niedrige dosis
Corticotropin^20 Minuten nach 100 µg CRH intravenös,corticotropin minuten crh intravenoes
Corticotropin^1 Stunde nach 100 µg CRH intravenös,corticotropin stunde crh intravenoes
Nebennieren Ak,nebennieren ak
Cortisol^30 Minuten vor Dosis Insulin intravenös,cortisol minuten dosis insulin intravenoes
Magnesium/Creatinin,magnesium creatinin
Kaninchen Ak,kaninchen ak
Corynebacterium diphtheriae Ak,corynebacterium diphtheriae ak
Direkter Antiglobulintest.XXX-Reagenz,direkter antiglobulintest reagenz
Phosphoserin Ak.IgG,phosphoserin ak igg
Estradiol^2. Probenmaterial nach XXX Stimulation,estradiol probenmaterial stimulation
Papageienfeder Ak.IgG,papageienfeder ak igg
Muskatblüte Ak.IgE.RAST Klasse,muskatbluete ak ige rast klasse
Phleum pratense rekombinant (rPhl p) 5 Ak.IgE.RAST Klasse,phleum pratense rekombinant rphl ak ige rast klasse
Amylase Ak.IgE.RAST Klasse,amylase ak ige rast klasse
(Cynodon dactylon+Lolium perenne+Phleum pratense+Poa pratensis+Sorghum halepense+Paspalum notatum) Ak.IgE,cynodon dactylon lolium perenne phleum pratense poa pratensis sorghum halepense paspalum notatum ak ige
(Ambrosia elatior+Chenopodium album+Cynodon dactylon+Lolium perenne+Plantago lanceolata+Paspalum notatum) Ak.IgE,ambrosia elatior chenopodium album cynodon dactylon lolium perenne plantago lanceolata paspalum notatum ak ige
(Aspergillus fumigatus+Blatella germanica+Katzenschuppen+Dermatophagoides pteronyssinus) Ak.IgE,aspergillus fumigatus blatella germanica katzenschuppen dermatophagoides pteronyssinus ak ige
Beta-Lactoglobulin Ak.IgG,beta lactoglobulin ak igg
Taubenfeder Ak.IgG,taubenfeder ak igg
Mausepithel+Serumproteine+Urinproteine Ak.IgE.RAST Klasse,mausepithel serumproteine urinproteine ak ige rast klasse
Anulozyten,anulozyten
Erythrozyt Ak,erythrozyt ak
Makroblasten/Zellen,makroblasten zellen
Schistozyten/1000 Erythrozyten,schistozyten erythrozyten
Retikulozyten.reif,retikulozyten reif
Fuchsepithel Ak.IgE.RAST Klasse,fuchsepithel ak ige rast klasse
Phleum pratense nativ (nPhl p) 4 Ak.IgE.RAST Klasse,phleum pratense nativ nphl ak ige rast klasse
Aspergillus fumigatus rekombinant (rAsp f) 1 Ak.IgE.RAST Klasse,aspergillus fumigatus rekombinant rasp ak ige rast klasse
Betula verrucosa rekombinant (rBet v) 4 Ak.IgE.RAST Klasse,betula verrucosa rekombinant rbet ak ige rast klasse
Anisochromasie,anisochromasie
Chinchillaepithel Ak.IgE.RAST Klasse,chinchillaepithel ak ige rast klasse
Trichosporon pullulans Ak.IgE.RAST Klasse,trichosporon pullulans ak ige rast klasse
Dyserythropoese,dyserythropoese
Retikulozyten.unreif,retikulozyten unreif
Thrombokrit,thrombokrit
Mittleres sphärisches Zellvolumen eines Erythrozyten,mittleres sphaerisches zellvolumen erythrozyten
Retikulozyten.hoch lichtstreuend,retikulozyten hoch lichtstreuend
Elaeis guineensis Ak.IgE.RAST Klasse,elaeis guineensis ak ige rast klasse
Andere Zellen/Zellen,zellen zellen
Erythrozytenaggregate,erythrozytenaggregate
Retikulozyten.hoch lichtstreuend/Retikulozyten.gesamt,retikulozyten hoch lichtstreuend retikulozyten gesamt
Megakaryozytenkerne,megakaryozytenkerne
17-Hydroxypregnenolon^2. Probenmaterial nach XXX Stimulation,hydroxypregnenolon probenmaterial stimulation
Retikulin Ak,retikulin ak
Malondialdehyd.frei,malondialdehyd frei
Retikulozyten.mittelreif,retikulozyten mittelreif
Osmotische Resistenz.komplette Hämolyse,osmotische resistenz komplette haemolyse
Wellensittich-Serumproteine+Federn+Kot Ak.IgG,wellensittich serumproteine federn kot ak igg
Coccidioides immitis Ak,coccidioides immitis ak
Coronavirus Ak,coronavirus ak
DNA-Einzelstrang Ak,dna einzelstrang ak
Fibrillarin Ak,fibrillarin ak
Angiotensin II^stehend,angiotensin ii stehend
Plasmodium falciparum Ak.IgM,plasmodium falciparum ak igm
(Quercus alba+Ulmus americana+Platanus acerifolia+Salix caprea+Populus deltoides) Ak.IgE,quercus alba ulmus americana platanus acerifolia salix caprea populus deltoides ak ige
(Citrus sinensis+Citrus limon+Citrus paradisi+Citrus reticulata) Ak.IgE,citrus sinensis citrus limon citrus paradisi citrus reticulata ak ige
(Aspergillus fumigatus+Aspergillus niger+Aspergillus terreus+Aspergillus flavus) Ak.IgE,aspergillus fumigatus aspergillus niger aspergillus terreus aspergillus flavus ak ige
Penicillium sp Ak.IgG,penicillium sp ak igg
Wellensittichkot Ak.IgG,wellensittichkot ak igg
Malassezia sp Ak.IgE.RAST Klasse,malassezia sp ak ige rast klasse
Saquinavir^TDM Tal,saquinavir tdm tal
Papageien-Serumproteine+Federn+Kot Ak.IgG,papageien serumproteine federn kot ak igg
Staphylococcus aureus TSST-1 Ak.IgE.RAST Klasse,staphylococcus aureus tsst ak ige rast klasse
Tauben-Serumproteine+Federn+Kot Ak.IgG,tauben serumproteine federn kot ak igg
(Alternaria alternata+Cladosporium herbarum+Mucor racemosus+Penicillium notatum) Ak.IgG,alternaria alternata cladosporium herbarum mucor racemosus penicillium notatum ak igg
(Saccharopolyspora rectivirgula+Thermoactinomyces vulgaris) Ak.IgG,saccharopolyspora rectivirgula thermoactinomyces vulgaris ak igg
Efavirenz^TDM Tal,efavirenz tdm tal
Lopinavir^TDM Tal,lopinavir tdm tal
Ureaplasma urealyticum DNA,ureaplasma urealyticum dna
Gerinnungzeit Gewebefaktor-induziert.PIVKA-insensitiv aktuell/normal,gerinnungzeit gewebefaktor induziert pivka insensitiv aktuell
Blutgerinnselformation.extrinsisches Gerinnungssystem aktiviert,blutgerinnselformation extrinsisches gerinnungssystem aktiviert
Parvovirus B19 Ak,parvovirus ak
Kininogen.hochmolekulares-Aktivität aktuell/normal,kininogen hochmolekulares aktivitaet aktuell
Gerinnungzeit Gewebefaktor-induziert.PIVKA-sensitiv aktuell/normal,gerinnungzeit gewebefaktor induziert pivka sensitiv aktuell
Gerinnungzeit Oberflächen-induziert^nach Zugabe von Protein C-Aktivator/Gerinnungzeit Oberflächen-induziert,gerinnungzeit oberflaechen induziert zugabe protein aktivator gerinnungzeit oberflaechen induziert
Gerinnungszeit.intrinsisches Gerinnungssystem aktiviert,gerinnungszeit intrinsisches gerinnungssystem aktiviert
Maximale Gerinnselfestigkeit,maximale gerinnselfestigkeit
Maximale Gerinnselfestigkeit.extrinsisches Gerinnungssystem aktiviert.Thrombozyten inhibiert,maximale gerinnselfestigkeit extrinsisches gerinnungssystem aktiviert thrombozyten inhibiert
Gerinnungzeit Oberflächen-induziert.Faktor-sensitiv,gerinnungzeit oberflaechen induziert faktor sensitiv
Präkallikrein-Aktivität aktuell/normal,praekallikrein aktivitaet aktuell
Gerinnungzeit Oberflächen-induziert^nach Zugabe von Protein C-Aktivator+Faktor V-armes Plasma/Gerinnungzeit Oberflächen-induziert,gerinnungzeit oberflaechen induziert zugabe protein aktivator faktor armes plasma gerinnungzeit oberflaechen induziert
Blutgerinnselformation.intrinsisches Gerinnungssystem aktiviert,blutgerinnselformation intrinsisches gerinnungssystem aktiviert
Röteln-Virus Ak.IgG-Avidität,roeteln virus ak igg aviditaet
Kobalt/Creatinin,kobalt creatinin
Aluminium/Creatinin,aluminium creatinin
Mitotischer Spindelapparat Ak,mitotischer spindelapparat ak
Gerinnungszeit.extrinsisches Gerinnungssystem aktivitiert.Fibrinolyse unterdrückt,gerinnungszeit extrinsisches gerinnungssystem aktivitiert fibrinolyse unterdrueckt
Maximale Gerinnselfestigkeit.intrinsisches Gerinnungssystem aktiviert,maximale gerinnselfestigkeit intrinsisches gerinnungssystem aktiviert
Gerinnungsinitiation,gerinnungsinitiation
Nukleäres Ak-Muster.fein gesprenkelt,nukleaeres ak muster fein gesprenkelt
Sjögren-Syndrom-A extrahierbarer nukleärer 60kD Ak,sjoegren syndrom extrahierbarer nukleaerer kd ak
Gliadin Ak,gliadin ak
U1 kleine nukleäre Ribonukleoprotein Ak,kleine nukleaere ribonukleoprotein ak
U1 kleines nukleäre Ribonukleoprotein 70kD Ak,kleines nukleaere ribonukleoprotein kd ak
Rickettsia rickettsii Ak.IgG,rickettsia rickettsii ak igg
"Bakterizides, Permeabilität-steigerndes Protein Ak",bakterizides permeabilitaet steigerndes protein ak
Speicheldrüse Ak,speicheldruese ak
Beta vulgaris Ak.IgE.RAST Klasse,beta vulgaris ak ige rast klasse
Hühnerfeder Ak.IgG,huehnerfeder ak igg
Kanarienvogelfeder Ak.IgG,kanarienvogelfeder ak igg
Merluccius merluccius Ak.IgE.RAST Klasse,merluccius merluccius ak ige rast klasse
Ficus sp Ak.IgE.RAST Klasse,ficus sp ak ige rast klasse
Normoblasten/Zellen,normoblasten zellen
Akanthozyten/1000 Erythrozyten,akanthozyten erythrozyten
Thrombozytenanisozytose,thrombozytenanisozytose
Mikromegakaryozyten,mikromegakaryozyten
Glucose^2 Stunden nach Dosis Fructose per os,glucose dosis fructose per os
Rickettsia sp DNA,rickettsia sp dna
Wasserstoff/Ausatemluft^45 Minuten nach XXX Stimulation,wasserstoff ausatemluft minuten stimulation
Quergestreifter Muskel Ak,quergestreifter muskel ak
Basalmembranzone BP180 Ak.IgG,basalmembranzone bp ak igg
Lactatdehydrogenase.Peritonealflüssigkeit/Lactatdehydrogenase.Serum,lactatdehydrogenase peritonealfluessigkeit lactatdehydrogenase serum
Ziegelmehlsediment,ziegelmehlsediment
Erythrozyten.dysmorph G1/Erythrozyten,erythrozyten dysmorph erythrozyten
Thyreoglobulin Ak,thyreoglobulin ak
Thyreotropin-Rezeptor Ak,thyreotropin rezeptor ak
Salmonella typhi,salmonella typhi
Lactatdehydrogenase.Perikardflüssigkeit/Lactatdehydrogenase.Serum,lactatdehydrogenase perikardfluessigkeit lactatdehydrogenase serum
Blut,blut
Dimagnesiumphosphat-Kristalle,dimagnesiumphosphat kristalle
Aktin Ak,aktin ak
Nukleäres Ak-Muster.atypisch gesprenkelt,nukleaeres ak muster atypisch gesprenkelt
Nukleäres Ak-Muster.viele nukleäre Punkte,nukleaeres ak muster viele nukleaere punkte
Zentromerprotein F Ak,zentromerprotein ak
Human upstream binding factor Ak,human upstream binding factor ak
Erythrozyten.nicht-dysmorph,erythrozyten dysmorph
Medikamenten-Kristalle,medikamenten kristalle
Nukleäres Ak-Muster.chromosomal,nukleaeres ak muster chromosomal
